what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.delete,1256251308250
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1256251310078
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1256251319625
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1256251320968
started,bundle,org.eclipse.mylyn.java.tasks,3.0.2.v20080918-1100-e3x,org.eclipse.mylyn.java.tasks,1256251321031
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256252062390
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256252867359
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256252927656
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256252928390
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256253001640
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256253004140
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256253010703
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256253165593
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256253245625
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256253500203
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256253504875
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256254403296
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256254403812
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256254407203
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256254501218
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1256254503453
opened,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1256254521046
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1256254521187
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1256254534421
activated,editor,org.python.pydev,1.4.2,org.python.pydev.editor.PythonEditor,1256254557578
